Dist Name,State Name,highest_column
Durg,Chhattisgarh,BARLEY Y/A
Durg,Chhattisgarh,GROUNDNUT Y/A
Durg,Chhattisgarh,GROUNDNUT Y/A
Durg,Chhattisgarh,GROUNDNUT Y/A
Durg,Chhattisgarh,BARLEY Y/A
Durg,Chhattisgarh,GROUNDNUT Y/A
Durg,Chhattisgarh,BARLEY Y/A
Durg,Chhattisgarh,SUGARCANE Y/A
Durg,Chhattisgarh,BARLEY Y/A
Durg,Chhattisgarh,KHARIF SORGHUM Y/A
Durg,Chhattisgarh,GROUNDNUT Y/A
Durg,Chhattisgarh,SUGARCANE Y/A
Durg,Chhattisgarh,SUGARCANE Y/A
Durg,Chhattisgarh,GROUNDNUT Y/A
Durg,Chhattisgarh,GROUNDNUT Y/A
Durg,Chhattisgarh,GROUNDNUT Y/A
Durg,Chhattisgarh,SUGARCANE Y/A
Durg,Chhattisgarh,KHARIF SORGHUM Y/A
Durg,Chhattisgarh,BARLEY Y/A
Durg,Chhattisgarh,BARLEY Y/A
Durg,Chhattisgarh,SUGARCANE Y/A
Durg,Chhattisgarh,SUGARCANE Y/A
Durg,Chhattisgarh,SUGARCANE Y/A
Durg,Chhattisgarh,KHARIF SORGHUM Y/A
Durg,Chhattisgarh,SUGARCANE Y/A
Durg,Chhattisgarh,SUGARCANE Y/A
Durg,Chhattisgarh,SUGARCANE Y/A
Durg,Chhattisgarh,PEARL MILLET Y/A
Durg,Chhattisgarh,SUGARCANE Y/A
Durg,Chhattisgarh,KHARIF SORGHUM Y/A
Durg,Chhattisgarh,PEARL MILLET Y/A
Durg,Chhattisgarh,RABI SORGHUMY/A
Durg,Chhattisgarh,KHARIF SORGHUM Y/A
Durg,Chhattisgarh,CASTOR Y/A
Durg,Chhattisgarh,BARLEY Y/A
Durg,Chhattisgarh,BARLEY Y/A
Durg,Chhattisgarh,BARLEY Y/A
Durg,Chhattisgarh,BARLEY Y/A
Durg,Chhattisgarh,BARLEY Y/A
Durg,Chhattisgarh,BARLEY Y/A
Durg,Chhattisgarh,CASTOR Y/A
Durg,Chhattisgarh,BARLEY Y/A
Durg,Chhattisgarh,COTTON Y/A
Durg,Chhattisgarh,COTTON Y/A
Durg,Chhattisgarh,BARLEY Y/A
Durg,Chhattisgarh,BARLEY Y/A
Durg,Chhattisgarh,CASTOR Y/A
Durg,Chhattisgarh,PEARL MILLET Y/A
Durg,Chhattisgarh,CASTOR Y/A
Durg,Chhattisgarh,CASTOR Y/A
Durg,Chhattisgarh,BARLEY Y/A
Durg,Chhattisgarh,PEARL MILLET Y/A
Bastar,Chhattisgarh,SUGARCANE Y/A
Bastar,Chhattisgarh,SUGARCANE Y/A
Bastar,Chhattisgarh,SUGARCANE Y/A
Bastar,Chhattisgarh,SUGARCANE Y/A
Bastar,Chhattisgarh,SUGARCANE Y/A
Bastar,Chhattisgarh,CASTOR Y/A
Bastar,Chhattisgarh,CASTOR Y/A
Bastar,Chhattisgarh,SUGARCANE Y/A
Bastar,Chhattisgarh,CASTOR Y/A
Bastar,Chhattisgarh,SUGARCANE Y/A
Bastar,Chhattisgarh,SUGARCANE Y/A
Bastar,Chhattisgarh,SUGARCANE Y/A
Bastar,Chhattisgarh,SUGARCANE Y/A
Bastar,Chhattisgarh,SUGARCANE Y/A
Bastar,Chhattisgarh,SUGARCANE Y/A
Bastar,Chhattisgarh,BARLEY Y/A
Bastar,Chhattisgarh,BARLEY Y/A
Bastar,Chhattisgarh,SUGARCANE Y/A
Bastar,Chhattisgarh,SUGARCANE Y/A
Bastar,Chhattisgarh,SUGARCANE Y/A
Bastar,Chhattisgarh,SUGARCANE Y/A
Bastar,Chhattisgarh,SUGARCANE Y/A
Bastar,Chhattisgarh,SUGARCANE Y/A
Bastar,Chhattisgarh,SUGARCANE Y/A
Bastar,Chhattisgarh,SOYABEAN Y/A
Bastar,Chhattisgarh,SOYABEAN Y/A
Bastar,Chhattisgarh,SUGARCANE Y/A
Bastar,Chhattisgarh,SUGARCANE Y/A
Bastar,Chhattisgarh,GROUNDNUT Y/A
Bastar,Chhattisgarh,SUGARCANE Y/A
Bastar,Chhattisgarh,GROUNDNUT Y/A
Bastar,Chhattisgarh,SUGARCANE Y/A
Bastar,Chhattisgarh,SUGARCANE Y/A
Bastar,Chhattisgarh,SUGARCANE Y/A
Bastar,Chhattisgarh,CASTOR Y/A
Bastar,Chhattisgarh,GROUNDNUT Y/A
Bastar,Chhattisgarh,CASTOR Y/A
Bastar,Chhattisgarh,SOYABEAN Y/A
Bastar,Chhattisgarh,GROUNDNUT Y/A
Bastar,Chhattisgarh,GROUNDNUT Y/A
Bastar,Chhattisgarh,CASTOR Y/A
Bastar,Chhattisgarh,GROUNDNUT Y/A
Bastar,Chhattisgarh,SOYABEAN Y/A
Bastar,Chhattisgarh,GROUNDNUT Y/A
Bastar,Chhattisgarh,SUNFLOWER Y/A
Bastar,Chhattisgarh,GROUNDNUT Y/A
Bastar,Chhattisgarh,GROUNDNUT Y/A
Bastar,Chhattisgarh,SOYABEAN Y/A
Bastar,Chhattisgarh,GROUNDNUT Y/A
Bastar,Chhattisgarh,SOYABEAN Y/A
Bastar,Chhattisgarh,SOYABEAN Y/A
Bastar,Chhattisgarh,GROUNDNUT Y/A
Raipur,Chhattisgarh,SUGARCANE Y/A
Raipur,Chhattisgarh,BARLEY Y/A
Raipur,Chhattisgarh,BARLEY Y/A
Raipur,Chhattisgarh,BARLEY Y/A
Raipur,Chhattisgarh,BARLEY Y/A
Raipur,Chhattisgarh,BARLEY Y/A
Raipur,Chhattisgarh,BARLEY Y/A
Raipur,Chhattisgarh,SUGARCANE Y/A
Raipur,Chhattisgarh,SUGARCANE Y/A
Raipur,Chhattisgarh,BARLEY Y/A
Raipur,Chhattisgarh,SUGARCANE Y/A
Raipur,Chhattisgarh,BARLEY Y/A
Raipur,Chhattisgarh,BARLEY Y/A
Raipur,Chhattisgarh,SUGARCANE Y/A
Raipur,Chhattisgarh,SUGARCANE Y/A
Raipur,Chhattisgarh,SUGARCANE Y/A
Raipur,Chhattisgarh,SUGARCANE Y/A
Raipur,Chhattisgarh,SUGARCANE Y/A
Raipur,Chhattisgarh,SUGARCANE Y/A
Raipur,Chhattisgarh,SUGARCANE Y/A
Raipur,Chhattisgarh,SUGARCANE Y/A
Raipur,Chhattisgarh,SUGARCANE Y/A
Raipur,Chhattisgarh,SUGARCANE Y/A
Raipur,Chhattisgarh,SUGARCANE Y/A
Raipur,Chhattisgarh,SUGARCANE Y/A
Raipur,Chhattisgarh,PEARL MILLET Y/A
Raipur,Chhattisgarh,PEARL MILLET Y/A
Raipur,Chhattisgarh,SUGARCANE Y/A
Raipur,Chhattisgarh,SUGARCANE Y/A
Raipur,Chhattisgarh,SOYABEAN Y/A
Raipur,Chhattisgarh,SUGARCANE Y/A
Raipur,Chhattisgarh,SUGARCANE Y/A
Raipur,Chhattisgarh,SUGARCANE Y/A
Raipur,Chhattisgarh,SUGARCANE Y/A
Raipur,Chhattisgarh,SAFFLOWER Y/A
Raipur,Chhattisgarh,SAFFLOWER Y/A
Raipur,Chhattisgarh,CASTOR Y/A
Raipur,Chhattisgarh,CASTOR Y/A
Raipur,Chhattisgarh,CASTOR Y/A
Raipur,Chhattisgarh,CASTOR Y/A
Raipur,Chhattisgarh,CASTOR Y/A
Raipur,Chhattisgarh,PEARL MILLET Y/A
Raipur,Chhattisgarh,SORGHUM Y/A
Raipur,Chhattisgarh,CASTOR Y/A
Raipur,Chhattisgarh,KHARIF SORGHUM Y/A
Raipur,Chhattisgarh,PEARL MILLET Y/A
Raipur,Chhattisgarh,PEARL MILLET Y/A
Raipur,Chhattisgarh,SORGHUM Y/A
Raipur,Chhattisgarh,PEARL MILLET Y/A
Raipur,Chhattisgarh,SORGHUM Y/A
Raipur,Chhattisgarh,SORGHUM Y/A
Raipur,Chhattisgarh,SORGHUM Y/A
Bilaspur,Chhattisgarh,BARLEY Y/A
Bilaspur,Chhattisgarh,BARLEY Y/A
Bilaspur,Chhattisgarh,BARLEY Y/A
Bilaspur,Chhattisgarh,SAFFLOWER Y/A
Bilaspur,Chhattisgarh,SAFFLOWER Y/A
Bilaspur,Chhattisgarh,SAFFLOWER Y/A
Bilaspur,Chhattisgarh,BARLEY Y/A
Bilaspur,Chhattisgarh,SUGARCANE Y/A
Bilaspur,Chhattisgarh,BARLEY Y/A
Bilaspur,Chhattisgarh,SUGARCANE Y/A
Bilaspur,Chhattisgarh,SUGARCANE Y/A
Bilaspur,Chhattisgarh,BARLEY Y/A
Bilaspur,Chhattisgarh,SUGARCANE Y/A
Bilaspur,Chhattisgarh,SOYABEAN Y/A
Bilaspur,Chhattisgarh,SUGARCANE Y/A
Bilaspur,Chhattisgarh,SUGARCANE Y/A
Bilaspur,Chhattisgarh,SUGARCANE Y/A
Bilaspur,Chhattisgarh,SUGARCANE Y/A
Bilaspur,Chhattisgarh,SUGARCANE Y/A
Bilaspur,Chhattisgarh,SUGARCANE Y/A
Bilaspur,Chhattisgarh,SUGARCANE Y/A
Bilaspur,Chhattisgarh,CASTOR Y/A
Bilaspur,Chhattisgarh,SOYABEAN Y/A
Bilaspur,Chhattisgarh,BARLEY Y/A
Bilaspur,Chhattisgarh,SUNFLOWER Y/A
Bilaspur,Chhattisgarh,SUNFLOWER Y/A
Bilaspur,Chhattisgarh,SUNFLOWER Y/A
Bilaspur,Chhattisgarh,CASTOR Y/A
Bilaspur,Chhattisgarh,SUNFLOWER Y/A
Bilaspur,Chhattisgarh,BARLEY Y/A
Bilaspur,Chhattisgarh,BARLEY Y/A
Bilaspur,Chhattisgarh,SUGARCANE Y/A
Bilaspur,Chhattisgarh,CASTOR Y/A
Bilaspur,Chhattisgarh,SUNFLOWER Y/A
Bilaspur,Chhattisgarh,SAFFLOWER Y/A
Bilaspur,Chhattisgarh,PEARL MILLET Y/A
Bilaspur,Chhattisgarh,PEARL MILLET Y/A
Bilaspur,Chhattisgarh,PEARL MILLET Y/A
Bilaspur,Chhattisgarh,PEARL MILLET Y/A
Bilaspur,Chhattisgarh,PEARL MILLET Y/A
Bilaspur,Chhattisgarh,PEARL MILLET Y/A
Bilaspur,Chhattisgarh,PEARL MILLET Y/A
Bilaspur,Chhattisgarh,CASTOR Y/A
Bilaspur,Chhattisgarh,CASTOR Y/A
Bilaspur,Chhattisgarh,RABI SORGHUMY/A
Bilaspur,Chhattisgarh,PEARL MILLET Y/A
Bilaspur,Chhattisgarh,PEARL MILLET Y/A
Bilaspur,Chhattisgarh,PEARL MILLET Y/A
Bilaspur,Chhattisgarh,PEARL MILLET Y/A
Bilaspur,Chhattisgarh,PEARL MILLET Y/A
Bilaspur,Chhattisgarh,PEARL MILLET Y/A
Bilaspur,Chhattisgarh,PEARL MILLET Y/A
Raigarh,Chhattisgarh,KHARIF SORGHUM Y/A
Raigarh,Chhattisgarh,KHARIF SORGHUM Y/A
Raigarh,Chhattisgarh,KHARIF SORGHUM Y/A
Raigarh,Chhattisgarh,BARLEY Y/A
Raigarh,Chhattisgarh,SAFFLOWER Y/A
Raigarh,Chhattisgarh,SAFFLOWER Y/A
Raigarh,Chhattisgarh,BARLEY Y/A
Raigarh,Chhattisgarh,CASTOR Y/A
Raigarh,Chhattisgarh,COTTON Y/A
Raigarh,Chhattisgarh,BARLEY Y/A
Raigarh,Chhattisgarh,BARLEY Y/A
Raigarh,Chhattisgarh,CASTOR Y/A
Raigarh,Chhattisgarh,COTTON Y/A
Raigarh,Chhattisgarh,BARLEY Y/A
Raigarh,Chhattisgarh,BARLEY Y/A
