State Name,Dist Name,highest_column
Chhattisgarh,Durg,BARLEY Y/A
Chhattisgarh,Durg,GROUNDNUT Y/A
Chhattisgarh,Durg,GROUNDNUT Y/A
Chhattisgarh,Durg,GROUNDNUT Y/A
Chhattisgarh,Durg,BARLEY Y/A
Chhattisgarh,Durg,GROUNDNUT Y/A
Chhattisgarh,Durg,BARLEY Y/A
Chhattisgarh,Durg,SUGARCANE Y/A
Chhattisgarh,Durg,BARLEY Y/A
Chhattisgarh,Durg,KHARIF SORGHUM Y/A
Chhattisgarh,Durg,GROUNDNUT Y/A
Chhattisgarh,Durg,SUGARCANE Y/A
Chhattisgarh,Durg,SUGARCANE Y/A
Chhattisgarh,Durg,GROUNDNUT Y/A
Chhattisgarh,Durg,GROUNDNUT Y/A
Chhattisgarh,Durg,GROUNDNUT Y/A
Chhattisgarh,Durg,SUGARCANE Y/A
Chhattisgarh,Durg,KHARIF SORGHUM Y/A
Chhattisgarh,Durg,BARLEY Y/A
Chhattisgarh,Durg,BARLEY Y/A
Chhattisgarh,Durg,SUGARCANE Y/A
Chhattisgarh,Durg,SUGARCANE Y/A
Chhattisgarh,Durg,SUGARCANE Y/A
Chhattisgarh,Durg,KHARIF SORGHUM Y/A
Chhattisgarh,Durg,SUGARCANE Y/A
Chhattisgarh,Durg,SUGARCANE Y/A
Chhattisgarh,Durg,SUGARCANE Y/A
Chhattisgarh,Durg,PEARL MILLET Y/A
Chhattisgarh,Durg,SUGARCANE Y/A
Chhattisgarh,Durg,KHARIF SORGHUM Y/A
Chhattisgarh,Durg,PEARL MILLET Y/A
Chhattisgarh,Durg,RABI SORGHUMY/A
Chhattisgarh,Durg,KHARIF SORGHUM Y/A
Chhattisgarh,Durg,CASTOR Y/A
Chhattisgarh,Durg,BARLEY Y/A
Chhattisgarh,Durg,BARLEY Y/A
Chhattisgarh,Durg,BARLEY Y/A
Chhattisgarh,Durg,BARLEY Y/A
Chhattisgarh,Durg,BARLEY Y/A
Chhattisgarh,Durg,BARLEY Y/A
Chhattisgarh,Durg,CASTOR Y/A
Chhattisgarh,Durg,BARLEY Y/A
Chhattisgarh,Durg,COTTON Y/A
Chhattisgarh,Durg,COTTON Y/A
Chhattisgarh,Durg,BARLEY Y/A
Chhattisgarh,Durg,BARLEY Y/A
Chhattisgarh,Durg,CASTOR Y/A
Chhattisgarh,Durg,PEARL MILLET Y/A
Chhattisgarh,Durg,CASTOR Y/A
Chhattisgarh,Durg,CASTOR Y/A
Chhattisgarh,Durg,BARLEY Y/A
Chhattisgarh,Durg,PEARL MILLET Y/A
Chhattisgarh,Bastar,SUGARCANE Y/A
Chhattisgarh,Bastar,SUGARCANE Y/A
Chhattisgarh,Bastar,SUGARCANE Y/A
Chhattisgarh,Bastar,SUGARCANE Y/A
Chhattisgarh,Bastar,SUGARCANE Y/A
Chhattisgarh,Bastar,CASTOR Y/A
Chhattisgarh,Bastar,CASTOR Y/A
Chhattisgarh,Bastar,SUGARCANE Y/A
Chhattisgarh,Bastar,CASTOR Y/A
Chhattisgarh,Bastar,SUGARCANE Y/A
Chhattisgarh,Bastar,SUGARCANE Y/A
Chhattisgarh,Bastar,SUGARCANE Y/A
Chhattisgarh,Bastar,SUGARCANE Y/A
Chhattisgarh,Bastar,SUGARCANE Y/A
Chhattisgarh,Bastar,SUGARCANE Y/A
Chhattisgarh,Bastar,BARLEY Y/A
Chhattisgarh,Bastar,BARLEY Y/A
Chhattisgarh,Bastar,SUGARCANE Y/A
Chhattisgarh,Bastar,SUGARCANE Y/A
Chhattisgarh,Bastar,SUGARCANE Y/A
Chhattisgarh,Bastar,SUGARCANE Y/A
Chhattisgarh,Bastar,SUGARCANE Y/A
Chhattisgarh,Bastar,SUGARCANE Y/A
Chhattisgarh,Bastar,SUGARCANE Y/A
Chhattisgarh,Bastar,SOYABEAN Y/A
Chhattisgarh,Bastar,SOYABEAN Y/A
Chhattisgarh,Bastar,SUGARCANE Y/A
Chhattisgarh,Bastar,SUGARCANE Y/A
Chhattisgarh,Bastar,GROUNDNUT Y/A
Chhattisgarh,Bastar,SUGARCANE Y/A
Chhattisgarh,Bastar,GROUNDNUT Y/A
Chhattisgarh,Bastar,SUGARCANE Y/A
Chhattisgarh,Bastar,SUGARCANE Y/A
Chhattisgarh,Bastar,SUGARCANE Y/A
Chhattisgarh,Bastar,CASTOR Y/A
Chhattisgarh,Bastar,GROUNDNUT Y/A
Chhattisgarh,Bastar,CASTOR Y/A
Chhattisgarh,Bastar,SOYABEAN Y/A
Chhattisgarh,Bastar,GROUNDNUT Y/A
Chhattisgarh,Bastar,GROUNDNUT Y/A
Chhattisgarh,Bastar,CASTOR Y/A
Chhattisgarh,Bastar,GROUNDNUT Y/A
Chhattisgarh,Bastar,SOYABEAN Y/A
Chhattisgarh,Bastar,GROUNDNUT Y/A
Chhattisgarh,Bastar,SUNFLOWER Y/A
Chhattisgarh,Bastar,GROUNDNUT Y/A
Chhattisgarh,Bastar,GROUNDNUT Y/A
Chhattisgarh,Bastar,SOYABEAN Y/A
Chhattisgarh,Bastar,GROUNDNUT Y/A
Chhattisgarh,Bastar,SOYABEAN Y/A
Chhattisgarh,Bastar,SOYABEAN Y/A
Chhattisgarh,Bastar,GROUNDNUT Y/A
Chhattisgarh,Raipur,SUGARCANE Y/A
Chhattisgarh,Raipur,BARLEY Y/A
Chhattisgarh,Raipur,BARLEY Y/A
Chhattisgarh,Raipur,BARLEY Y/A
Chhattisgarh,Raipur,BARLEY Y/A
Chhattisgarh,Raipur,BARLEY Y/A
Chhattisgarh,Raipur,BARLEY Y/A
Chhattisgarh,Raipur,SUGARCANE Y/A
Chhattisgarh,Raipur,SUGARCANE Y/A
Chhattisgarh,Raipur,BARLEY Y/A
Chhattisgarh,Raipur,SUGARCANE Y/A
Chhattisgarh,Raipur,BARLEY Y/A
Chhattisgarh,Raipur,BARLEY Y/A
Chhattisgarh,Raipur,SUGARCANE Y/A
Chhattisgarh,Raipur,SUGARCANE Y/A
Chhattisgarh,Raipur,SUGARCANE Y/A
Chhattisgarh,Raipur,SUGARCANE Y/A
Chhattisgarh,Raipur,SUGARCANE Y/A
Chhattisgarh,Raipur,SUGARCANE Y/A
Chhattisgarh,Raipur,SUGARCANE Y/A
Chhattisgarh,Raipur,SUGARCANE Y/A
Chhattisgarh,Raipur,SUGARCANE Y/A
Chhattisgarh,Raipur,SUGARCANE Y/A
Chhattisgarh,Raipur,SUGARCANE Y/A
